TDS,pH,Hardness,Turbidity,Litres_Processed,Days_Used,Cleaning_Frequency,Water_Source,Temperature,Fouling_Risk_Score,Operational_Risk_Category,Estimated_Membrane_Life_Months,Purifier_Recommendation,Cleaning_Frequency_Encoded,Water_Source_Encoded,Risk_Category_Encoded
960,7.5,541,1.9,4222,1148,Regular,Borewell,41,1432.75,Low Risk,35.483,UF + UV Purifier,2,0,1
1394,9.5,972,18.2,5587,979,Moderate,Municipal,23,2700.45,Medium Risk,20.6295,RO + UV Purifier,0,1,2
1230,8.8,186,4.2,6960,999,Regular,River,18,1910.7,Low Risk,30.606,RO + UV Purifier,2,2,1
1195,8.0,416,16.5,2670,275,Regular,Borewell,24,1845.2,Low Risk,28.846,UF + UV Purifier,2,0,1
1738,6.7,961,11.1,3891,762,Regular,Borewell,18,2329.1,Low Risk,26.445500000000003,RO + UV Purifier,2,0,1
2269,8.0,233,2.0,7442,216,Regular,River,36,2435.6499999999996,Low Risk,27.897999999999993,RO + UV Purifier,2,2,1
566,7.6,637,19.1,2116,954,Rare,Municipal,25,1651.0500000000002,Low Risk,29.119999999999997,UF + UV Purifier,1,1,1
1338,7.2,336,5.3,9608,814,Moderate,Municipal,42,2473.4,Low Risk,25.049999999999997,RO + UV Purifier,0,1,1
430,6.0,521,17.3,6958,1426,Rare,Municipal,20,2185.15,Low Risk,23.808999999999997,UF + UV Purifier,1,1,1
1582,9.0,424,3.8,3256,1459,Regular,Municipal,18,1622.1999999999998,Low Risk,34.394,RO + UV Purifier,2,1,1
2235,7.3,703,17.2,7353,437,Moderate,Borewell,18,3224.8,High Risk,17.133500000000005,RO + UV Purifier,0,0,0
230,6.3,798,0.8,8209,1178,Regular,River,24,1737.4499999999998,Low Risk,31.324500000000008,UV Purifier,2,2,1
1785,7.0,586,10.5,2436,1390,Moderate,River,38,1941.6,Low Risk,30.346999999999998,RO + UV Purifier,0,2,1
869,7.2,560,15.5,3591,370,Rare,Borewell,30,1845.15,Low Risk,28.466500000000003,UF + UV Purifier,1,0,1
2491,8.8,851,18.7,1468,592,Moderate,Borewell,18,2596.6499999999996,Medium Risk,23.701000000000008,RO + UV Purifier,0,0,2
1615,8.4,628,18.2,7797,1231,Regular,Borewell,33,2987.6499999999996,Medium Risk,18.027499999999996,RO + UV Purifier,2,0,2
1315,8.6,299,16.5,3703,680,Moderate,Tank Water,39,2007.5,Low Risk,27.404500000000002,RO + UV Purifier,0,3,1
1055,5.5,969,17.8,6999,981,Moderate,River,39,2725.3999999999996,Medium Risk,19.780500000000004,UF + UV Purifier,0,2,2
2424,7.2,559,4.4,5673,1223,Rare,River,31,2490.5,Low Risk,27.3425,RO + UV Purifier,1,2,1
1284,7.4,679,6.0,1389,1092,Regular,River,21,1395.8999999999999,Low Risk,35.7485,RO + UV Purifier,2,2,1
559,5.6,122,6.1,9484,98,Moderate,Municipal,40,2001.0,Low Risk,27.949000000000005,UF + UV Purifier,0,1,1
121,6.5,331,7.9,9673,1289,Rare,Borewell,40,1976.4,Low Risk,27.063499999999998,UV Purifier,1,0,1
2400,8.5,965,8.2,7882,410,Moderate,Borewell,29,3144.55,Medium Risk,20.196999999999996,RO + UV Purifier,0,0,2
847,6.0,409,11.1,4031,86,Regular,Borewell,42,1656.1999999999998,Low Risk,31.116500000000002,UF + UV Purifier,2,0,1
574,7.6,59,3.6,1301,1330,Moderate,Tank Water,29,652.7,Low Risk,41.9305,UF + UV Purifier,0,3,1
1182,6.4,260,14.0,8734,879,Moderate,River,34,2578.1,Medium Risk,21.913000000000004,UF + UV Purifier,0,2,2
